	dbpedia	PRoV	desc	1.0562306876712735
top10	lmdb	GFoP	kafca	4.9720754137434024	0.9688039681221345
top10	lmdb	GFoP	mpsum	5.012105632070774	0.9766038165019795
top10	lmdb	GFoP	esa	5.097890123185973	0.9933188396019954
top10	lmdb	GFoP	deeplens	4.999729522153048	0.9741923437465447
	lmdb	GFoV	desc	1.5008992514904247
top10	lmdb	GFoV	gold	1.7969823557847606	1.1972704723520378
top10	lmdb	GFoV	relin	0.9440322771716577	0.6289777786445118
top10	lmdb	GFoV	diversum	1.8481650611728861	1.2313718321450418
top10	lmdb	GFoV	faces	1.4485288940669587	0.9651073465647604
top10	lmdb	GFoV	faces_e	2.1045153283488447	1.402169616820727
top10	lmdb	GFoV	cd	0.9420658358827582	0.6276676032367042
top10	lmdb	GFoV	linksum	1.549567637014089	1.032426150839462
top10	lmdb	GFoV	bafrec	2.0210276313723963	1.3465444994828755
top10	lmdb	GFoV	kafca	2.0184488494844675	1.3448263415949506
top10	lmdb	GFoV	mpsum	1.9075741496833307	1.2709541615062232
top10	lmdb	GFoV	esa	1.7741478466601737	1.1820565870083601
top10	lmdb	GFoV	deeplens	1.801263083777906	1.200122581172063
	lmdb	IoPV	desc	5.059089769991894
top10	lmdb	IoPV	gold	4.64146349009328	0.9174503124305533
top10	lmdb	IoPV	relin	5.771770753174393	1.1408713850878436
top10	lmdb	IoPV	diversum	4.66532014784557	0.922165915204356
top10	lmdb	IoPV	faces	5.0327958067892276	0.9948026296432552
top10	lmdb	IoPV	faces_e	4.391732412333974	0.8680874647419057
top10	lmdb	IoPV	cd	5.771770753174393	1.1408713850878436
top10	lmdb	IoPV	linksum	4.955324965389595	0.9794894320283102
top10	lmdb	IoPV	bafrec	4.357483857164346	0.8613177577932813
top10	lmdb	IoPV	kafca	4.421169777983478	0.8739061726494254
top10	lmdb	IoPV	mpsum	4.602316085131723	0.9097122791594775
top10	lmdb	IoPV	esa	4.65725275385268	0.9205712817110461
top10	lmdb	IoPV	deeplens	4.60985845462169	0.9112031342011698
	dsfaces	PRoV	desc	0.9967520828049546
top10	dsfaces	PRoV	gold	1.14353240637667	1.1472586073345958
top10	dsfaces	PRoV	relin	0.3115169764133018	0.31253205464759454
top10	dsfaces	PRoV	diversum	1.1302750528719776	1.133958054736416
top10	dsfaces	PRoV	faces	1.5141690577879916	1.519102978472818
top10	dsfaces	PRoV	faces_e	1.5141690577879916	1.519102978472818
top10	dsfaces	PRoV	cd	0.7744132181844208	0.7769366440701571
top10	dsfaces	PRoV	linksum	1.7735120486937543	1.7792910386531862
top10	dsfaces	PRoV	bafrec	1.6782232778494381	1.6836917692980977
top10	dsfaces	PRoV	kafca	0.9899575864338016	0.9931833637587868
top10	dsfaces	PRoV	mpsum	1.4206293229051814	1.425258444313852
top10	dsfaces	PRoV	esa	0.8315404755786082	0.8342500506631244
top10	dsfaces	PRoV	deeplens	1.2234806228970099	1.2274673351612366
	dsfaces	LFoP	desc	3.2349415709909612
top10	dsfaces	LFoP	gold	2.4210227272727276	0.7483976678228208
top10	dsfaces	LFoP	relin	2.522	0.7796122262657852
top10	dsfaces	LFoP	diversum	2.7800000000000007	0.8593663715380189
top10	dsfaces	LFoP	faces	2.434	0.752409261986884
top10	dsfaces	LFoP	faces_e	2.434	0.752409261986884
top10	dsfaces	LFoP	cd	1.956	0.6046477060173973
top10	dsfaces	LFoP	linksum	3.0940000000000003	0.9564314940786438
top10	dsfaces	LFoP	bafrec	2.428	0.7505545144224134
top10	dsfaces	LFoP	kafca	1.7320000000000002	0.5354037969438303
top10	dsfaces	LFoP	mpsum	2.162	0.6683273723975526
top10	dsfaces	LFoP	esa	2.164	0.6689456215857095
top10	dsfaces	LFoP	deeplens	2.2459999999999996	0.69429383830014
	dsfaces	GFoP	desc	4.929069859877423
top10	dsfaces	GFoP	gold	4.88084386732502	0.9902160054689098
top10	dsfaces	GFoP	relin	5.148009267841377	1.0444179965364497
top10	dsfaces	GFoP	diversum	4.646374708487983	0.9426473636150756
top10	dsfaces	GFoP	faces	4.580976245890135	0.9293794521313714
top10	dsfaces	GFoP	faces_e	4.580976245890135	0.9293794521313714
top10	dsfaces	GFoP	cd	5.02902568512192	1.0202788412593087
top10	dsfaces	GFoP	linksum	4.752999369871114	0.964279165235713
top10	dsfaces	GFoP	bafrec	4.567360840083166	0.92661718537638
top10	dsfaces	GFoP	kafca	4.8417713476362225	0.9822890495117934
top10	dsfaces	GFoP	mpsum	4.4890199079977	0.910723531134804
top10	dsfaces	GFoP	esa	5.140021147869917	1.0427973824655308
top10	dsfaces	GFoP	deeplens	4.911506752573515	0.9964368313285897
